2014年6月27日 0.094454	500	49370	51	49350	51	49370	1380	80942
2014年6月27日 0.094455	0	49370	1	49360	1	49370	1380	80942
2014年6月27日 0.094455	500	49370	51	49350	51	49370	1380	80942
2014年6月27日 0.094456	0	49370	12	49360	12	49370	1380	80942
2014年6月27日 0.094456	500	49370	12	49350	12	49370	1380	80942
2014年6月27日 0.094457	0	49370	1	49360	1	49370	1380	80942
2014年6月27日 0.094457	500	49370	12	49350	12	49370	1380	80942
2014年6月27日 0.094458	0	49370	12	49360	12	49370	1380	80942
2014年6月27日 0.094458	500	49370	51	49350	51	49370	1380	80942
2014年6月27日 0.094459	0	49370	1	49360	1	49370	1380	80942
2014年6月27日 0.0945	0	49370	12	49360	12	49370	1380	80942
2014年6月27日 0.0945	500	49370	51	49350	51	49370	1380	80942
2014年6月27日 0.094501	0	49370	2	49360	2	49370	1380	80942
2014年6月27日 0.094501	500	49370	12	49360	12	49370	1380	80942
2014年6月27日 0.094503	0	49370	51	49350	51	49360	1384	80946
2014年6月27日 0.094503	500	49370	1	49360	1	49360	1384	80946
2014年6月27日 0.094504	0	49370	30	49360	30	49360	1384	80946
2014年6月27日 0.094505	0	49370	19	49360	19	49360	1384	80946
2014年6月27日 0.094506	0	49370	1	49360	1	49360	1384	80946
2014年6月27日 0.094508	500	49370	1	49360	1	49360	1384	80946
2014年6月27日 0.094509	0	49370	2	49360	2	49360	1384	80946
2014年6月27日 0.09451	0	49370	2	49360	2	49360	1384	80946
2014年6月27日 0.094511	0	49370	16	49360	16	49360	1384	80946
2014年6月27日 0.094511	500	49370	22	49350	22	49360	1384	80946
2014年6月27日 0.094512	0	49370	59	49350	59	49360	1384	80946
2014年6月27日 0.094513	500	49370	19	49350	19	49360	1384	80946
2014年6月27日 0.094514	500	49370	60	49350	60	49360	1384	80946
2014年6月27日 0.09452	0	49370	19	49360	19	49360	1384	80946
2014年6月27日 0.094521	0	49370	19	49360	19	49360	1384	80946
2014年6月27日 0.094525	500	49370	19	49360	19	49360	1384	80946
2014年6月27日 0.094536	0	49360	1	49350	1	49360	1384	80946
2014年6月27日 0.094536	500	49370	19	49350	19	49360	1384	80946
2014年6月27日 0.094537	0	49370	4	49360	4	49360	1384	80946
2014年6月27日 0.094537	500	49370	4	49360	4	49360	1384	80946
2014年6月27日 0.09454	0	49370	4	49360	4	49360	1384	80946
2014年6月27日 0.09454	500	49370	18	49360	18	49360	1384	80946
2014年6月27日 0.094545	0	49370	18	49360	18	49360	1384	80946
2014年6月27日 0.094551	500	49370	3	49360	3	49360	1384	80946
2014年6月27日 0.094553	500	49370	18	49360	18	49360	1384	80946
2014年6月27日 0.094555	0	49360	54	49350	54	49360	1390	80952
2014年6月27日 0.094555	500	49370	1	49360	1	49360	1396	80958
2014年6月27日 0.094556	0	49370	18	49360	18	49360	1396	80958
2014年6月27日 0.094556	500	49370	18	49360	18	49360	1396	80958
2014年6月27日 0.094557	0	49370	54	49350	54	49360	1396	80958
2014年6月27日 0.094557	500	49370	1	49360	1	49360	1396	80958
2014年6月27日 0.094558	0	49370	1	49360	1	49360	1396	80958
2014年6月27日 0.0946	500	49370	18	49360	18	49360	1396	80958
